episode,opsdemo_reward,response_policy_accuracy,baseline_reward
475,92.0,1.0,92.0
476,93.0,1.0,87.0
477,95.0,1.0,90.0
478,87.0,1.0,88.0
479,93.0,1.0,92.0
480,96.0,1.0,94.0
481,86.0,1.0,95.0
482,94.0,0.5,99.0
483,93.0,0.42857142857142855,90.0
484,90.0,1.0,93.0
485,89.0,1.0,86.0
486,90.0,1.0,93.0
487,99.0,1.0,87.0
488,98.0,1.0,88.0
489,86.0,1.0,85.0
490,97.0,1.0,89.0
491,94.0,1.0,92.0
492,89.0,1.0,96.0
493,92.0,1.0,91.0
494,92.0,1.0,93.0
495,94.0,1.0,92.0
496,91.0,0.5555555555555556,93.0
497,96.0,1.0,90.0
498,96.0,1.0,93.0
499,97.0,1.0,96.0
500,87.0,1.0,87.0
501,88.0,1.0,89.0
502,91.0,1.0,99.0
503,92.0,1.0,87.0
504,93.0,1.0,95.0
505,89.0,1.0,97.0
506,93.0,1.0,93.0
507,90.0,1.0,96.0
508,66.0,0.5555555555555556,92.0
509,92.0,1.0,92.0
510,89.0,1.0,89.0
511,92.0,1.0,86.0
512,88.0,1.0,95.0
513,97.0,1.0,91.0
514,87.0,1.0,99.0
515,98.0,1.0,82.0
516,94.0,1.0,93.0
517,96.0,1.0,93.0
518,93.0,1.0,85.0
519,79.0,0.6666666666666666,90.0
520,91.0,1.0,91.0
521,94.0,1.0,86.0
522,97.0,1.0,93.0
523,89.0,1.0,90.0
524,95.0,1.0,90.0
525,95.0,1.0,91.0
526,87.0,1.0,90.0
527,90.0,1.0,86.0
528,93.0,1.0,93.0
529,95.0,1.0,88.0
530,94.0,1.0,91.0
531,93.0,1.0,97.0
532,98.0,1.0,91.0
533,89.0,0.45454545454545453,77.0
534,90.0,1.0,92.0
535,92.0,1.0,84.0
536,93.0,1.0,92.0
537,92.0,1.0,95.0
538,96.0,1.0,76.0
539,92.0,1.0,94.0
540,92.0,1.0,89.0
541,90.0,1.0,86.0
542,95.0,1.0,98.0
543,87.0,1.0,92.0
544,78.0,0.75,89.0
545,87.0,1.0,94.0
546,94.0,1.0,92.0
547,89.0,1.0,93.0
548,94.0,1.0,94.0
549,88.0,1.0,94.0
550,97.0,1.0,94.0
551,89.0,1.0,91.0
552,83.0,1.0,95.0
553,95.0,1.0,95.0
554,91.0,0.6666666666666666,81.0
555,94.0,0.8333333333333334,91.0
556,92.0,1.0,93.0
557,92.0,1.0,86.0
558,97.0,1.0,78.0
559,93.0,1.0,92.0
560,87.0,1.0,96.0
561,91.0,1.0,96.0
562,90.0,1.0,89.0
563,96.0,1.0,86.0
564,96.0,1.0,83.0
565,88.0,1.0,84.0
566,88.0,1.0,94.0
567,85.0,0.6666666666666666,96.0
568,92.0,1.0,89.0
569,91.0,1.0,99.0
570,86.0,1.0,90.0
571,94.0,1.0,92.0
572,93.0,1.0,87.0
573,91.0,1.0,90.0
574,92.0,1.0,88.0
575,89.0,1.0,94.0
576,87.0,1.0,90.0
577,81.0,0.5625,95.0
578,94.0,1.0,95.0
579,94.0,1.0,95.0
580,90.0,1.0,89.0
581,93.0,1.0,94.0
582,94.0,1.0,92.0
583,93.0,1.0,90.0
584,90.0,1.0,83.0
585,93.0,1.0,86.0
586,94.0,1.0,96.0
587,97.0,1.0,87.0
588,89.0,1.0,84.0
589,71.0,0.75,98.0
590,95.0,1.0,89.0
591,94.0,1.0,95.0
592,95.0,1.0,85.0
593,85.0,1.0,93.0
594,90.0,1.0,92.0
595,94.0,1.0,86.0
596,91.0,1.0,92.0
597,87.0,1.0,85.0
598,90.0,1.0,87.0
599,84.0,0.5625,95.0
600,86.0,1.0,91.0
601,95.0,1.0,89.0
602,99.0,1.0,89.0
603,90.0,1.0,97.0
604,91.0,1.0,86.0
605,92.0,1.0,81.0
606,90.0,1.0,96.0
607,93.0,1.0,94.0
608,58.0,0.8205128205128205,85.0
609,92.0,1.0,94.0
610,94.0,1.0,98.0
611,97.0,1.0,94.0
612,97.0,1.0,93.0
613,90.0,1.0,93.0
614,94.0,1.0,87.0
615,96.0,1.0,85.0
616,97.0,1.0,86.0
617,96.0,1.0,91.0
618,94.0,1.0,96.0
619,94.0,1.0,93.0
620,93.0,1.0,85.0
621,94.0,1.0,87.0
622,91.0,1.0,93.0
623,88.0,0.5833333333333334,95.0
624,95.0,1.0,95.0
625,92.0,1.0,91.0
626,97.0,1.0,91.0
627,88.0,1.0,92.0
628,92.0,1.0,88.0
629,96.0,1.0,91.0
630,96.0,1.0,94.0
631,93.0,1.0,76.0
632,92.0,1.0,90.0
633,92.0,1.0,92.0
634,90.0,1.0,96.0
635,89.0,1.0,90.0
636,85.0,0.5,98.0
637,91.0,1.0,93.0
638,86.0,1.0,93.0
639,92.0,1.0,86.0
640,86.0,1.0,92.0
641,93.0,1.0,88.0
642,94.0,1.0,91.0
643,90.0,1.0,99.0
644,95.0,1.0,91.0
645,91.0,1.0,94.0
646,92.0,1.0,89.0
647,89.0,0.5454545454545454,92.0
648,92.0,1.0,98.0
649,95.0,1.0,90.0
650,95.0,1.0,90.0
651,93.0,1.0,96.0
652,83.0,1.0,97.0
653,91.0,1.0,90.0
654,93.0,1.0,88.0
655,95.0,1.0,78.0
656,95.0,1.0,86.0
657,91.0,1.0,93.0
658,96.0,1.0,92.0
659,78.0,0.6666666666666666,97.0
660,92.0,1.0,86.0
661,93.0,1.0,88.0
662,93.0,1.0,91.0
663,86.0,1.0,94.0
664,92.0,1.0,93.0
665,92.0,1.0,87.0
666,93.0,1.0,89.0
667,86.0,1.0,89.0
668,96.0,1.0,91.0
669,75.0,0.7083333333333334,94.0
670,93.0,1.0,96.0
671,92.0,1.0,96.0
672,92.0,1.0,85.0
673,94.0,1.0,94.0
674,81.0,1.0,93.0
675,91.0,1.0,94.0
676,95.0,1.0,91.0
677,92.0,1.0,85.0
678,95.0,1.0,92.0
679,95.0,1.0,91.0
680,81.0,0.6470588235294118,89.0
681,97.0,1.0,93.0
682,93.0,1.0,86.0
683,93.0,1.0,91.0
684,95.0,1.0,90.0
685,96.0,1.0,90.0
686,94.0,1.0,93.0
687,92.0,1.0,92.0
688,91.0,1.0,98.0
689,87.0,1.0,89.0
690,88.0,1.0,89.0
691,89.0,1.0,90.0
692,80.0,0.65,94.0
693,93.0,1.0,84.0
694,94.0,1.0,97.0
695,89.0,1.0,93.0
696,95.0,1.0,98.0
697,97.0,1.0,85.0
698,90.0,1.0,96.0
699,87.0,1.0,88.0
700,90.0,1.0,90.0
701,90.0,1.0,90.0
702,97.0,1.0,93.0
703,95.0,1.0,87.0
704,81.0,0.5882352941176471,94.0
705,97.0,1.0,92.0
706,97.0,1.0,94.0
707,93.0,1.0,94.0
708,93.0,1.0,95.0
709,94.0,1.0,88.0
710,90.0,1.0,98.0
711,90.0,1.0,70.0
712,89.0,1.0,86.0
713,99.0,1.0,94.0
714,85.0,1.0,95.0
715,73.0,0.8148148148148148,91.0
716,95.0,1.0,87.0
717,90.0,1.0,86.0
718,88.0,1.0,87.0
719,89.0,1.0,93.0
720,95.0,1.0,83.0
721,88.0,1.0,86.0
722,90.0,1.0,88.0
723,93.0,1.0,90.0
724,96.0,1.0,94.0
725,93.0,1.0,85.0
726,89.0,0.18181818181818182,94.0
727,96.0,1.0,93.0
728,93.0,1.0,98.0
729,87.0,1.0,99.0
730,94.0,1.0,90.0
731,85.0,1.0,93.0
732,87.0,1.0,95.0
733,96.0,1.0,90.0
734,92.0,1.0,95.0
735,96.0,1.0,88.0
736,95.0,1.0,96.0
737,92.0,1.0,97.0
738,74.0,0.47368421052631576,90.0
739,96.0,1.0,88.0
740,90.0,1.0,89.0
741,94.0,1.0,94.0
742,83.0,1.0,92.0
743,92.0,1.0,94.0
744,91.0,1.0,93.0
745,91.0,1.0,91.0
746,92.0,1.0,91.0
747,89.0,1.0,90.0
748,93.0,0.8571428571428571,89.0
749,98.0,0.0,95.0
750,86.0,0.6666666666666666,99.0
751,96.0,1.0,94.0
752,96.0,1.0,98.0
753,88.0,1.0,91.0
754,90.0,1.0,97.0
755,90.0,1.0,95.0
756,89.0,1.0,94.0
757,92.0,1.0,90.0
758,90.0,1.0,86.0
759,87.0,1.0,91.0
760,93.0,0.7142857142857143,99.0
761,91.0,0.0,88.0
762,84.0,1.0,92.0
763,96.0,1.0,88.0
764,94.0,1.0,85.0
765,96.0,1.0,97.0
766,85.0,1.0,94.0
767,94.0,1.0,87.0
768,86.0,1.0,94.0
769,98.0,1.0,97.0
770,92.0,1.0,95.0
771,95.0,1.0,94.0
772,89.0,1.0,87.0
773,89.0,0.5454545454545454,85.0
774,92.0,1.0,84.0
775,95.0,1.0,91.0
776,92.0,1.0,88.0
777,95.0,1.0,96.0
778,86.0,1.0,91.0
779,89.0,1.0,90.0
780,93.0,1.0,90.0
781,92.0,1.0,90.0
782,98.0,1.0,92.0
