episode,global_step,from_policy,to_policy,true_policy,normalized_error
271,10979,attack,attack,attack,0.37220442295074463
272,11010,attack,attack,attack,0.23825781047344208
274,11065,attack,detour,direct,0.4054144620895386
278,11117,detour,attack,direct,0.3696434795856476
280,11178,attack,detour,direct,0.2577345073223114
281,11229,detour,attack,detour,0.44167476892471313
282,11287,attack,detour,detour,0.6037065982818604
283,11298,detour,direct,detour,0.46917200088500977
283,11329,direct,direct,detour,0.5466431975364685
284,11348,direct,direct,detour,0.3123002350330353
284,11405,direct,direct,attack,0.13564236462116241
284,11458,direct,direct,attack,0.18790088593959808
284,11520,direct,detour,direct,2.084733009338379
285,11542,detour,attack,direct,0.772120475769043
288,11576,attack,attack,direct,0.2536424398422241
292,11614,attack,attack,direct,0.5615566372871399
295,11680,attack,detour,detour,1.0422050952911377
296,11707,detour,direct,detour,0.8419756293296814
296,11761,direct,attack,detour,0.7559381723403931
296,11781,attack,attack,detour,1.1115748882293701
296,11788,attack,detour,detour,0.8492939472198486
296,11795,detour,direct,detour,1.3652656078338623
296,11802,direct,detour,detour,0.7061951756477356
296,11810,detour,direct,detour,1.5541117191314697
296,11818,direct,detour,detour,0.651314914226532
296,11827,detour,direct,detour,1.7278974056243896
296,11836,direct,detour,detour,0.6610523462295532
296,11845,detour,attack,attack,1.0890315771102905
296,11906,attack,attack,attack,0.3364088237285614
296,11954,attack,attack,attack,0.3133874535560608
298,12001,attack,direct,direct,0.7858613729476929
299,12020,direct,attack,direct,0.9157619476318359
300,12054,attack,attack,direct,0.2881799340248108
303,12101,attack,attack,direct,0.20428121089935303
307,12137,attack,attack,direct,0.19844207167625427
309,12190,attack,attack,detour,0.1417079120874405
309,12227,attack,detour,detour,2.148538827896118
309,12236,detour,detour,detour,1.0988531112670898
309,12247,detour,attack,detour,0.47218334674835205
309,12254,attack,detour,detour,1.9935436248779297
309,12265,detour,direct,detour,0.9914740920066833
309,12275,direct,attack,detour,0.6927540302276611
309,12285,attack,direct,detour,0.8741987943649292
309,12297,direct,direct,detour,0.4204689860343933
309,12318,direct,detour,detour,0.1859627217054367
309,12337,detour,detour,attack,0.5101490616798401
310,12369,detour,attack,attack,1.2619495391845703
310,12480,attack,direct,direct,1.9278757572174072
312,12501,direct,attack,direct,0.7058582305908203
314,12540,attack,direct,direct,0.5255576968193054
316,12564,direct,direct,direct,0.14106485247612
317,12596,direct,direct,direct,0.31830692291259766
320,12626,direct,detour,direct,0.4721164107322693
320,12642,detour,attack,detour,0.7882593870162964
320,12689,attack,attack,detour,0.3789539337158203
320,12715,attack,attack,detour,1.1635520458221436
320,12727,attack,direct,detour,1.469704031944275
320,12742,direct,detour,detour,1.8207827806472778
320,12758,detour,direct,detour,1.4780244827270508
320,12768,direct,attack,detour,1.5356078147888184
320,12776,attack,detour,detour,0.6663150787353516
320,12785,detour,direct,detour,1.2772600650787354
320,12802,direct,attack,attack,0.6890349388122559
320,12870,attack,attack,attack,0.15668082237243652
321,12910,attack,detour,attack,0.19672797620296478
322,12932,detour,direct,attack,1.137747049331665
323,12963,direct,detour,direct,1.1498032808303833
325,12980,detour,attack,direct,0.5037089586257935
329,13030,attack,attack,direct,0.46752381324768066
