episode,global_step,episode_step,true_policy,new_assumed_policy
883,10745,24,chase_y,chase_y
884,10751,3,chase_y,chase_x
884,10756,8,chase_y,chase_x
885,10763,7,chase_y,chase_x
886,10771,4,chase_y,chase_x
887,10779,3,chase_y,chase_y
887,10784,8,chase_y,chase_x
887,10788,12,chase_y,chase_y
889,10802,2,chase_x,chase_x
890,10815,7,chase_x,chase_x
891,10823,5,chase_x,chase_x
892,10829,3,chase_x,chase_x
892,10834,8,chase_x,chase_x
892,10838,12,chase_x,chase_x
894,10850,4,chase_x,chase_x
894,10856,10,chase_x,chase_x
895,10860,4,chase_x,chase_y
895,10864,8,chase_x,chase_x
896,10871,4,chase_x,chase_x
897,10877,3,chase_x,chase_y
897,10884,10,chase_x,chase_x
897,10889,15,chase_x,chase_x
899,10901,7,chase_y,chase_y
899,10905,11,chase_y,chase_x
899,10911,17,chase_y,chase_x
899,10917,23,chase_y,chase_x
899,10922,28,chase_y,chase_x
899,10926,32,chase_y,chase_y
899,10930,36,chase_y,chase_x
899,10934,40,chase_y,chase_x
900,10938,4,chase_y,chase_y
900,10942,8,chase_y,chase_x
900,10947,13,chase_y,chase_x
900,10952,18,chase_y,chase_y
900,10957,23,chase_y,chase_x
900,10961,27,chase_y,chase_x
900,10965,31,chase_y,chase_y
900,10969,35,chase_y,chase_x
902,10977,1,chase_y,chase_y
903,10991,9,chase_y,chase_x
904,10995,3,chase_y,chase_y
904,11001,9,chase_x,chase_x
905,11014,5,chase_x,chase_x
905,11019,10,chase_x,chase_y
906,11025,6,chase_x,chase_x
906,11029,10,chase_x,chase_x
907,11038,7,chase_x,chase_x
908,11045,5,chase_x,chase_x
908,11049,9,chase_x,chase_x
910,11063,5,chase_x,chase_y
910,11067,9,chase_x,chase_x
910,11071,13,chase_x,chase_x
911,11081,10,chase_x,chase_x
912,11086,2,chase_x,chase_x
913,11098,4,chase_x,chase_x
914,11103,2,chase_y,chase_y
915,11118,7,chase_y,chase_x
916,11122,3,chase_y,chase_x
916,11129,10,chase_y,chase_x
916,11134,15,chase_y,chase_y
916,11138,19,chase_y,chase_x
917,11143,5,chase_y,chase_x
917,11148,10,chase_y,chase_x
917,11152,14,chase_y,chase_y
917,11157,19,chase_y,chase_x
917,11161,23,chase_y,chase_y
917,11165,27,chase_y,chase_x
917,11170,32,chase_y,chase_x
917,11176,38,chase_y,chase_x
918,11184,6,chase_y,chase_x
919,11189,2,chase_y,chase_y
919,11194,7,chase_y,chase_x
920,11198,3,chase_y,chase_x
921,11207,6,chase_x,chase_x
921,11212,11,chase_x,chase_x
922,11216,1,chase_x,chase_x
923,11225,7,chase_x,chase_y
923,11229,11,chase_x,chase_x
924,11237,6,chase_x,chase_x
925,11244,6,chase_x,chase_y
926,11250,3,chase_x,chase_x
930,11261,2,chase_x,chase_y
932,11269,7,chase_x,chase_x
933,11278,5,chase_x,chase_x
934,11283,5,chase_x,chase_x
935,11290,3,chase_x,chase_x
936,11299,9,chase_x,chase_x
936,11304,14,chase_y,chase_x
936,11308,18,chase_y,chase_x
936,11312,22,chase_y,chase_x
936,11317,27,chase_y,chase_x
936,11321,31,chase_y,chase_x
936,11326,36,chase_y,chase_x
936,11330,40,chase_y,chase_y
938,11340,3,chase_y,chase_x
938,11344,7,chase_y,chase_x
938,11348,11,chase_y,chase_x
938,11353,16,chase_y,chase_x
938,11358,21,chase_y,chase_x
938,11363,26,chase_y,chase_x
938,11368,31,chase_y,chase_y
938,11373,36,chase_y,chase_x
939,11378,1,chase_y,chase_x
939,11384,7,chase_y,chase_x
939,11388,11,chase_y,chase_x
939,11393,16,chase_y,chase_x
939,11400,23,chase_x,chase_y
939,11404,27,chase_x,chase_x
939,11408,31,chase_x,chase_x
943,11433,8,chase_x,chase_y
943,11438,13,chase_x,chase_x
943,11442,17,chase_x,chase_x
943,11446,21,chase_x,chase_x
944,11453,6,chase_x,chase_y
945,11458,4,chase_x,chase_x
947,11468,4,chase_x,chase_x
948,11473,2,chase_x,chase_x
950,11480,2,chase_x,chase_y
950,11485,7,chase_x,chase_x
951,11493,3,chase_x,chase_x
952,11501,6,chase_y,chase_y
953,11506,3,chase_y,chase_x
953,11510,7,chase_y,chase_y
953,11514,11,chase_y,chase_x
953,11518,15,chase_y,chase_x
953,11522,19,chase_y,chase_y
953,11527,24,chase_y,chase_x
953,11531,28,chase_y,chase_x
953,11535,32,chase_y,chase_x
953,11540,37,chase_y,chase_x
954,11544,1,chase_y,chase_x
954,11549,6,chase_y,chase_x
954,11554,11,chase_y,chase_x
954,11558,15,chase_y,chase_x
954,11562,19,chase_y,chase_x
954,11566,23,chase_y,chase_y
955,11574,5,chase_y,chase_x
956,11578,1,chase_y,chase_x
956,11582,5,chase_y,chase_y
956,11587,10,chase_y,chase_x
956,11593,16,chase_y,chase_x
956,11599,22,chase_y,chase_x
957,11611,5,chase_x,chase_x
957,11616,10,chase_x,chase_x
958,11627,9,chase_x,chase_x
960,11641,8,chase_x,chase_x
961,11650,6,chase_x,chase_x
962,11655,5,chase_x,chase_y
962,11659,9,chase_x,chase_x
963,11666,5,chase_x,chase_x
964,11671,3,chase_x,chase_y
964,11675,7,chase_x,chase_x
965,11682,7,chase_x,chase_x
967,11692,1,chase_x,chase_x
968,11699,4,chase_x,chase_x
968,11704,9,chase_y,chase_y
968,11709,14,chase_y,chase_x
969,11713,4,chase_y,chase_x
969,11718,9,chase_y,chase_x
969,11723,14,chase_y,chase_x
969,11727,18,chase_y,chase_x
969,11732,23,chase_y,chase_x
969,11737,28,chase_y,chase_x
969,11741,32,chase_y,chase_x
969,11748,39,chase_y,chase_x
970,11755,6,chase_y,chase_y
971,11763,5,chase_y,chase_x
971,11767,9,chase_y,chase_x
971,11771,13,chase_y,chase_y
972,11776,1,chase_y,chase_x
972,11781,6,chase_y,chase_x
972,11787,12,chase_y,chase_x
972,11792,17,chase_y,chase_x
972,11796,21,chase_y,chase_x
972,11803,28,chase_x,chase_x
973,11807,3,chase_x,chase_y
973,11811,7,chase_x,chase_x
973,11819,15,chase_x,chase_y
973,11823,19,chase_x,chase_x
973,11829,25,chase_x,chase_y
973,11834,30,chase_x,chase_x
974,11842,6,chase_x,chase_x
975,11850,5,chase_x,chase_x
977,11859,3,chase_x,chase_y
977,11863,7,chase_x,chase_x
978,11878,8,chase_x,chase_x
979,11884,2,chase_x,chase_y
979,11888,6,chase_x,chase_x
979,11892,10,chase_x,chase_x
981,11901,1,chase_y,chase_x
981,11905,5,chase_y,chase_x
981,11909,9,chase_y,chase_x
981,11914,14,chase_y,chase_y
981,11918,18,chase_y,chase_x
982,11926,8,chase_y,chase_x
982,11930,12,chase_y,chase_x
982,11934,16,chase_y,chase_x
982,11938,20,chase_y,chase_x
982,11942,24,chase_y,chase_x
982,11946,28,chase_y,chase_x
982,11951,33,chase_y,chase_x
982,11958,40,chase_y,chase_x
983,11962,4,chase_y,chase_x
983,11967,9,chase_y,chase_x
983,11971,13,chase_y,chase_y
983,11975,17,chase_y,chase_x
983,11979,21,chase_y,chase_x
983,11984,26,chase_y,chase_x
983,11990,32,chase_y,chase_x
983,11994,36,chase_y,chase_y
984,12001,3,chase_x,chase_x
985,12011,3,chase_x,chase_x
985,12017,9,chase_x,chase_y
985,12022,14,chase_x,chase_x
985,12026,18,chase_x,chase_x
987,12037,3,chase_x,chase_x
987,12041,7,chase_x,chase_x
988,12052,6,chase_x,chase_x
988,12059,13,chase_x,chase_x
989,12065,5,chase_x,chase_x
989,12070,10,chase_x,chase_x
990,12076,4,chase_x,chase_x
990,12081,9,chase_x,chase_x
991,12087,5,chase_x,chase_y
992,12093,4,chase_x,chase_x
993,12102,9,chase_y,chase_x
993,12106,13,chase_y,chase_y
993,12110,17,chase_y,chase_x
994,12114,4,chase_y,chase_y
995,12122,5,chase_y,chase_x
995,12129,12,chase_y,chase_x
995,12134,17,chase_y,chase_x
996,12138,4,chase_y,chase_x
996,12142,8,chase_y,chase_x
996,12146,12,chase_y,chase_x
996,12150,16,chase_y,chase_x
996,12154,20,chase_y,chase_x
997,12161,4,chase_y,chase_x
997,12165,8,chase_y,chase_y
997,12172,15,chase_y,chase_x
997,12178,21,chase_y,chase_x
997,12183,26,chase_y,chase_x
997,12187,30,chase_y,chase_x
997,12192,35,chase_y,chase_x
997,12196,39,chase_y,chase_y
998,12203,6,chase_x,chase_x
998,12207,10,chase_x,chase_x
