episode,global_step,episode_step,reward,intruder_policy,winner,reason
9,343,56,-0.018386226743459695,attack,,running
9,344,57,-0.011036676019430154,attack,,running
9,345,58,-0.005875272899866099,attack,,running
9,346,59,-0.0030552415549755033,attack,,running
9,347,60,-0.0024382217228412564,attack,,running
9,348,61,-0.003638725578784939,attack,,running
9,349,62,-0.006186833828687663,attack,,running
9,350,63,-0.009668285250663752,attack,,running
9,351,64,-0.013775620460510243,attack,,running
9,352,65,-0.018299709111452102,attack,,running
9,353,66,-0.023103401660919176,attack,,running
9,354,67,-0.02809744164347648,attack,,running
9,355,68,-0.03322328314185141,attack,,running
9,356,69,-0.03844191640615462,attack,,running
9,357,70,-0.04372688889503478,attack,,running
9,358,71,-0.04905986398458479,attack,,running
9,359,72,-0.05442788213491438,attack,,running
9,360,73,-0.05982161968946456,attack,,running
9,361,74,-0.05411285817623137,attack,,running
9,362,75,-0.049677703380584706,attack,,running
9,363,76,-0.046569119244813904,attack,,running
9,364,77,-0.0447829408943653,attack,,running
9,365,78,-0.044252966940402975,attack,,running
9,366,79,-0.0473013563454151,attack,,running
9,367,80,-0.048651678711175914,attack,,running
9,368,81,-0.05083865359425544,attack,,running
9,369,82,-0.053710924685001354,attack,,running
9,370,83,-0.05713163375854491,attack,,running
9,371,84,-0.04656404018402099,attack,,running
9,372,85,-0.05097169041633605,attack,,running
9,373,86,-0.04206347003579138,attack,,running
9,374,87,-0.03453425675630568,attack,,running
9,375,88,-0.028676274269819252,attack,,running
9,376,89,-0.02470955461263656,attack,,running
9,377,90,-0.022674928456544875,attack,,running
9,378,91,-0.022383171170949935,attack,,running
9,379,92,-0.023482336699962608,attack,,running
9,380,93,-0.025588579326868054,attack,,running
9,381,94,-0.028379957973957058,attack,,running
9,382,95,-0.01786362811923027,attack,,running
9,383,96,-0.009465609714388847,attack,,running
9,384,97,-0.003951200321316711,attack,,running
9,385,98,-0.001624721512198446,attack,,running
9,386,99,-0.00195485189557075,attack,,running
9,387,100,-0.004017976894974705,attack,,running
9,388,101,-0.007071867063641546,attack,,running
9,389,102,-0.010674049556255338,attack,,running
9,390,103,-0.014585396498441698,attack,,running
9,391,104,-0.007111012786626812,attack,,running
9,392,105,-0.011612856239080427,attack,,running
9,393,106,-0.006906883269548414,attack,,running
9,394,107,-0.004950853660702706,attack,,running
9,395,108,-0.005396384224295614,attack,,running
9,396,109,-0.007614367306232453,attack,,running
9,397,110,-0.011000110805034637,attack,,running
9,398,111,-0.015115596950054162,attack,,running
9,399,112,-0.019682548046112046,attack,,running
9,400,113,-0.02453237012028693,attack,,running
9,401,114,-0.029563284516334526,attack,,running
9,402,115,-0.03471279799938201,attack,,running
9,403,116,-0.03994157075881957,attack,,running
9,404,117,-0.04522411733865736,attack,,running
9,405,118,-0.050543434023857095,attack,,running
9,406,119,-0.05588787183165549,attack,,running
9,407,120,-0.0612492150068283,attack,,running
9,408,121,-0.05576314762234686,attack,,running
9,409,122,-0.05166179895401,attack,,running
9,410,123,-0.04898883238434791,attack,,running
9,411,124,-0.047715119123458855,attack,,running
9,412,125,-0.04773863837122915,attack,,running
9,413,126,-0.048902232795953744,attack,,running
9,414,127,-0.05102166295051574,attack,,running
9,415,128,-0.05391268119215964,attack,,running
9,416,129,-0.05740944132208823,attack,,running
9,417,130,-0.061372934132814395,attack,,running
9,418,131,-0.06569199621677396,attack,,running
9,419,132,-0.05651509746909141,attack,,running
9,420,133,-0.048578812777996055,attack,,running
9,421,134,-0.04215013071894645,attack,,running
9,422,135,-0.03746205255389212,attack,,running
9,423,136,-0.03462755814194679,attack,,running
9,424,137,-0.033568361997604365,attack,,running
9,425,138,-0.034024356156587596,attack,,running
