episode,global_step,episode_step,reward,episode_reward_so_far,true_policy,response_policy,response_policy_correct,assumed_policy,assumption_correct,predator_a_action,predator_b_action,switched,running_error_chase_x,running_error_chase_y
18,150,7,-1.0,-7.0,chase_y,chase_y,True,chase_y,True,4,1,False,7.919999993554095,2.552208430333164
18,151,8,-1.0,-8.0,chase_y,chase_y,True,chase_y,True,1,1,False,7.879999988474593,2.405777226748416
18,152,9,-1.0,-9.0,chase_y,chase_y,True,chase_y,True,3,3,False,8.0,2.365745785888909
18,153,10,-1.0,-10.0,chase_y,chase_y,True,chase_y,True,2,1,False,7.959999784331377,2.2220093899954896
18,154,11,-1.0,-11.0,chase_y,chase_y,True,chase_y,True,3,3,False,8.0,2.182006422995955
18,155,12,-1.0,-12.0,chase_y,chase_y,True,chase_y,True,2,3,False,8.0,2.38360579152837
18,156,13,-1.0,-13.0,chase_y,chase_y,True,chase_y,True,0,1,False,7.959999362054179,2.911426284006148
18,157,14,99.0,86.0,chase_y,chase_y,True,chase_y,True,0,1,False,7.91975159462508,3.528875810023976
19,158,1,-1.0,-1.0,chase_y,chase_y,True,chase_y,True,2,2,False,8.0,3.4107663188805137
19,159,2,-1.0,-2.0,chase_y,chase_y,True,chase_y,True,1,2,False,8.0,3.290349311053169
19,160,3,-1.0,-3.0,chase_y,chase_y,True,chase_y,True,1,4,False,7.959999996705821,3.245143674438383
19,161,4,-1.0,-4.0,chase_y,chase_y,True,chase_y,True,2,4,False,7.919999914209933,3.099093126407322
19,162,5,-1.0,-5.0,chase_y,chase_y,True,chase_y,True,1,4,False,7.879999744593991,2.9536844512644675
19,163,6,-2.0,-7.0,chase_y,chase_y,True,chase_y,True,3,4,False,7.818593752977061,2.80846827046573
19,164,7,-1.0,-8.0,chase_y,chase_y,True,chase_y,True,0,2,False,8.0,2.7612153819294214
19,165,8,-1.0,-9.0,chase_y,chase_y,True,chase_y,True,4,2,False,8.0,2.713821160096988
19,166,9,-1.0,-10.0,chase_y,chase_y,True,chase_y,True,1,4,False,8.0,2.5686829318550966
19,167,10,99.0,89.0,chase_y,chase_y,True,chase_y,True,0,2,False,8.0,2.527290987377837
20,168,1,-1.0,-1.0,chase_y,chase_y,True,chase_y,True,4,4,False,8.0,2.4872909787786686
20,169,2,-1.0,-2.0,chase_y,chase_y,True,chase_y,True,4,4,False,8.0,2.447282624566218
20,170,3,-1.0,-3.0,chase_y,chase_y,True,chase_y,True,2,4,False,8.0,2.3061151614288953
20,171,4,-1.0,-4.0,chase_y,chase_y,True,chase_y,True,3,2,False,7.959999996816887,2.266040417284237
20,172,5,-1.0,-5.0,chase_y,chase_y,True,chase_y,True,1,2,False,7.919999955197472,2.2260364501187304
20,173,6,99.0,94.0,chase_y,chase_y,True,chase_y,True,4,2,False,7.879999950470096,2.1852828255832715
21,174,1,-1.0,-1.0,chase_y,chase_y,True,chase_y,True,1,3,False,7.839995235752208,2.199921820070036
21,175,2,-1.0,-2.0,chase_y,chase_y,True,chase_y,True,4,2,False,8.0,2.333438669358516
21,176,3,-1.0,-3.0,chase_y,chase_y,True,chase_y,True,3,1,False,8.0,3.0333982967166095
21,177,4,-1.0,-4.0,chase_y,chase_y,True,chase_y,True,4,4,False,8.0,2.938579056677895
21,178,5,-1.0,-5.0,chase_y,chase_y,True,chase_y,True,4,1,False,8.0,2.9075909769049537
21,179,6,99.0,94.0,chase_y,chase_y,True,chase_y,True,4,3,False,8.0,2.846311933243249
22,180,1,-1.0,-1.0,chase_y,chase_y,True,chase_y,True,3,2,False,8.0,2.7736286263409182
22,181,2,-1.0,-2.0,chase_y,chase_y,True,chase_y,True,3,4,False,8.0,2.733199824152949
22,182,3,-1.0,-3.0,chase_y,chase_y,True,chase_y,True,3,4,False,8.0,2.692751325161165
22,183,4,-1.0,-4.0,chase_y,chase_y,True,chase_y,True,3,4,False,8.0,2.652323632553648
22,184,5,-1.0,-5.0,chase_y,chase_y,True,chase_y,True,3,2,False,8.0,2.603198431868007
22,185,6,-1.0,-6.0,chase_y,chase_y,True,chase_y,True,3,4,False,8.0,2.459577068301869
22,186,7,99.0,93.0,chase_y,chase_y,True,chase_y,True,3,4,False,8.0,2.3388124320627743
23,187,1,-1.0,-1.0,chase_y,chase_y,True,chase_y,True,2,1,False,8.0,2.298812429205283
23,188,2,-1.0,-2.0,chase_y,chase_y,True,chase_y,True,2,1,False,8.0,2.2588123790308092
23,189,3,-1.0,-3.0,chase_y,chase_y,True,chase_y,True,2,1,False,8.0,2.204805141168084
23,190,4,-1.0,-4.0,chase_y,chase_y,True,chase_y,True,2,0,False,8.0,2.130713380433294
23,191,5,-1.0,-5.0,chase_y,chase_y,True,chase_y,True,3,4,False,7.959992928555466,2.0889425455758586
23,192,6,-1.0,-6.0,chase_y,chase_y,True,chase_y,True,3,1,False,8.0,2.033634115848697
23,193,7,-1.0,-7.0,chase_y,chase_y,True,chase_y,True,2,0,False,8.0,1.9561397996109124
23,194,8,-1.0,-8.0,chase_y,chase_y,True,chase_y,True,3,4,False,8.0,1.9145120057769962
